"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.66138414626961,0.486,0.055,0,"E11.5","Gm54109"
0,9.31306801705874,0.361,0,0,"E11.5","Lin28a"
0,9.11027742399144,0.336,0,0,"E11.5","Plk3"
1.60403092781392e-276,3.12908508604087,0.613,0.135,2.16961223296111e-272,"E11.5","Hbb-bh1"
3.16946415922519e-270,4.34572560372457,0.387,0.031,4.287017221768e-266,"E11.5","Mir217hg"
1.00593454341167e-267,9.81221535311027,0.28,0,1.36062706341862e-263,"E11.5","Chat"
5.04319884676152e-258,3.20060023381553,0.85,0.388,6.82143076012964e-254,"E11.5","Glra1"
7.54581956513203e-251,8.51210186050737,0.264,0,1.02064755437976e-246,"E11.5","Nat8l"
7.54581956513203e-251,8.60906264201538,0.264,0,1.02064755437976e-246,"E11.5","Gm56569"
2.54114049819921e-249,9.47928228702209,0.262,0,3.43714663786425e-245,"E11.5","G630064G18Rik"
9.55525063735933e-245,9.40150094498818,0.258,0,1.29244320120922e-240,"E11.5","Otp"
6.09811317680849e-241,9.10416421406756,0.254,0,8.24830788295117e-237,"E11.5","St8sia3os"
3.5103052705111e-240,8.72533742509363,0.253,0,4.74803890889331e-236,"E11.5","Gm20501"
3.82950059328834e-237,8.96437784216943,0.25,0,5.17978250248181e-233,"E11.5","Neurod4"
2.9318766543987e-208,3.99857618976397,0.328,0.033,3.96565636273969e-204,"E11.5","Usp44"
1.8238302125029e-183,4.42711821688577,0.265,0.019,2.46691274543142e-179,"E11.5","Ppp1r17"
7.73565719402303e-172,3.65853015857384,0.429,0.102,1.04632499206355e-167,"E11.5","Hoxb9"
7.73960764113848e-162,3.63760850209845,0.315,0.049,1.04685932954039e-157,"E11.5","Hoxa7"
7.31844399108123e-144,3.29940444462731,0.461,0.152,9.89892734233647e-140,"E11.5","Hoxc6"
1.12079473937683e-96,3.66472308857497,0.317,0.08,1.5159869644811e-92,"E11.5","Nppa"
0,13.103294252171,0.983,0,0,"E12.5","Uty"
0,11.828390845985,0.927,0,0,"E12.5","Eif2s3y"
0,11.6270171554485,0.893,0,0,"E12.5","Kdm5d"
0,10.7658499838994,0.761,0,0,"E12.5","Ddx3y"
5.14450938688019e-227,1.46309974676879,0.994,0.921,6.95846339669414e-223,"E12.5","Igfbp5"
7.09972370653659e-179,3.33299396717374,0.348,0.053,9.60308628546139e-175,"E12.5","Slc17a8"
3.37567068783279e-123,1.94011442226097,0.417,0.13,4.56593217236263e-119,"E12.5","Neurog2"
4.27784910543492e-113,2.04959674409879,0.612,0.282,5.78621870001127e-109,"E12.5","9030622O22Rik"
6.45625088658464e-97,1.48592062160809,0.46,0.184,8.73272494919438e-93,"E12.5","Kel"
8.45178025793566e-93,2.15040121933639,0.273,0.07,1.14318779768838e-88,"E12.5","H2ac24"
8.61436860971669e-82,2.04215662545353,0.469,0.23,1.16517949815028e-77,"E12.5","Ttc6"
4.96150241986104e-70,1.63517553366681,0.327,0.122,6.71092817310404e-66,"E12.5","Pkhd1l1"
3.75845775802217e-67,1.6232951623971,0.295,0.107,5.08368996350079e-63,"E12.5","Hoxa10"
1.25630190270813e-66,1.69455129981431,0.603,0.381,1.69927395360301e-62,"E12.5","Shox2"
1.55042883789069e-57,1.52533770355559,0.543,0.318,2.09711004613095e-53,"E12.5","Prkg2"
1.7025460038927e-53,1.46498357414503,0.258,0.099,2.30286372486527e-49,"E12.5","Pipox"
6.10421824277856e-51,1.54634959100644,0.938,0.76,8.25656559518228e-47,"E12.5","Spon1"
1.53241502281222e-28,1.79503480917219,0.327,0.197,2.07274455985581e-24,"E12.5","Gm14066"
1.09547511160746e-21,1.54227519883776,0.28,0.169,1.48173963596025e-17,"E12.5","Corin"
5.2849578579306e-16,1.4591932675789,0.392,0.284,7.14843399863693e-12,"E12.5","Ccdc3"
0,9.88318296065982,0.444,0,0,"E14.5","Trpc7"
5.49807058273834e-284,9.217999502248,0.356,0,7.43669027021188e-280,"E14.5","Zfhx2os"
6.68031680574497e-278,9.24223779392154,0.349,0,9.03579651145064e-274,"E14.5","Foxo6"
1.09060137748776e-276,8.99452271822526,0.348,0,1.47514742318994e-272,"E14.5","Htr4"
1.13795259467631e-274,8.99995575470996,0.345,0,1.53919467955917e-270,"E14.5","Plppr4"
4.65804362208897e-273,8.79550221275516,0.344,0,6.30046980323754e-269,"E14.5","Gm47591"
9.13772851996051e-267,4.06671591928224,0.398,0.026,1.23596915960986e-262,"E14.5","Trank1"
5.46633466716097e-259,3.5452680515601,0.455,0.066,7.39376427080192e-255,"E14.5","Grin1"
5.10357888348885e-225,8.71328292421954,0.29,0,6.90310079780702e-221,"E14.5","Gabra5"
5.76157221595191e-217,8.52265638080024,0.28,0,7.79310257929655e-213,"E14.5","Pak6"
5.63567876910513e-209,9.06379019967057,0.271,0,7.62281910309161e-205,"E14.5","Cdh23"
1.94594543967207e-204,8.94272169358626,0.266,0,2.63208580170045e-200,"E14.5","Slc6a11"
2.01107887696389e-201,8.30804726191802,0.262,0,2.72018528898135e-197,"E14.5","Gm26638"
2.03626074963143e-198,8.37506908677405,0.258,0,2.75424628995147e-194,"E14.5","Cacna1i"
2.7137671641289e-197,9.18146941716143,0.257,0,3.67064146620075e-193,"E14.5","Gm56832"
1.49182064997913e-193,8.3065619010154,0.253,0,2.01783661116177e-189,"E14.5","Rasgef1a"
2.93233945971326e-191,3.5546270142865,0.34,0.042,3.96628235320815e-187,"E14.5","E130008D07Rik"
4.5822255258369e-191,4.09528515925403,0.325,0.032,6.197918246247e-187,"E14.5","Ranbp3l"
1.05706927801292e-186,3.71997940785477,0.293,0.019,1.42979190544028e-182,"E14.5","Pitpnm3"
3.06124835404314e-186,3.56862384051999,0.686,0.269,4.14064452367875e-182,"E14.5","Gm29260"
